,id,name,출판일,분류,작가,순위,평점,한줄평
27,99475212,정재승의 인간탐구보고서 6,2021년 04월 15일,"['국내도서', '어린이', '3-4학년', '3-4학년 학습', '3-4학년 과학/환경', '국내도서', '어린이', '5-6학년', '5-6학년 학습', '5-6학년 과학/환경', '국내도서', '어린이', '초등학습', '과학/환경']",정재은,5,평점5점,아이가 이 책을 너무 좋아해서 주문했습니다.
28,99475212,정재승의 인간탐구보고서 6,2021년 04월 15일,"['국내도서', '어린이', '3-4학년', '3-4학년 학습', '3-4학년 과학/환경', '국내도서', '어린이', '5-6학년', '5-6학년 학습', '5-6학년 과학/환경', '국내도서', '어린이', '초등학습', '과학/환경']",정재은,5,평점5점,역시 믿고보는 책입니다~  아이가 재밌다고 하네요
29,84768485,ETS 토익 정기시험 기출문제집 1000 Vol.2 READING 리딩,2019년 12월 16일,"['국내도서', '국어 외국어 사전', '영어', '토익/TOEIC', '독해/문법/RC', '#토익만점기출로잡는다', '#분철']",ETS,6,평점5점,추천합니다!
30,84768485,ETS 토익 정기시험 기출문제집 1000 Vol.2 READING 리딩,2019년 12월 16일,"['국내도서', '국어 외국어 사전', '영어', '토익/TOEIC', '독해/문법/RC', '#토익만점기출로잡는다', '#분철']",ETS,6,평점5점,최고
31,84768485,ETS 토익 정기시험 기출문제집 1000 Vol.2 READING 리딩,2019년 12월 16일,"['국내도서', '국어 외국어 사전', '영어', '토익/TOEIC', '독해/문법/RC', '#토익만점기출로잡는다', '#분철']",ETS,6,평점5점,기출이 최고
32,84768485,ETS 토익 정기시험 기출문제집 1000 Vol.2 READING 리딩,2019년 12월 16일,"['국내도서', '국어 외국어 사전', '영어', '토익/TOEIC', '독해/문법/RC', '#토익만점기출로잡는다', '#분철']",ETS,6,평점5점,열공하기 좋아요~
33,84768485,ETS 토익 정기시험 기출문제집 1000 Vol.2 READING 리딩,2019년 12월 16일,"['국내도서', '국어 외국어 사전', '영어', '토익/TOEIC', '독해/문법/RC', '#토익만점기출로잡는다', '#분철']",ETS,6,평점5점,기출분석은 모든 시험에서 기본입니다. 분철은 문제와 해답만 구분되는 점 유의하세요
34,84768485,ETS 토익 정기시험 기출문제집 1000 Vol.2 READING 리딩,2019년 12월 16일,"['국내도서', '국어 외국어 사전', '영어', '토익/TOEIC', '독해/문법/RC', '#토익만점기출로잡는다', '#분철']",ETS,6,평점5점,항상그렇듯 좋은책이었다...
35,99358494,만화 나 혼자만 레벨업 4 ,2021년 04월 29일,"['국내도서', '만화/라이트노벨', '웹툰 ', '다음/카카오 연재 ', '국내도서', '만화/라이트노벨', '판타지', '#인기웹툰단행본', '#작화가장난아니야 ', '#게임판타지']",추공,7,평점4점,소장 가치 있는 만화책
36,97963005,오늘은 이만 좀 쉴게요 (10만 부 기념 스페셜 에디션),2021년 03월 10일,"['국내도서', '에세이', '한국 에세이']",손힘찬 (오가타 마리토),8,평점5점,"배송도 빠르고 힐링되는 도서네요
만독합니다"
37,97963005,오늘은 이만 좀 쉴게요 (10만 부 기념 스페셜 에디션),2021년 03월 10일,"['국내도서', '에세이', '한국 에세이']",손힘찬 (오가타 마리토),8,평점4점,괜찮아요..
38,18841857,푸른 사자 와니니,2015년 06월 25일,"['국내도서', '어린이', '3-4학년', '3-4학년 그림/동화책', '3-4학년 창작동화', '국내도서', '어린이', '5-6학년', '5-6학년 그림/동화책', '5-6학년 창작동화', '국내도서', '어린이', '어린이 문학', '그림/동화책', '창작동화', '국내도서', '미디어 추천', '동아일보', '국내도서', '미디어 추천', '한겨레', '#성장물', '#모험동화', '#관계']",이현,9,평점5점,좋아요
39,18841857,푸른 사자 와니니,2015년 06월 25일,"['국내도서', '어린이', '3-4학년', '3-4학년 그림/동화책', '3-4학년 창작동화', '국내도서', '어린이', '5-6학년', '5-6학년 그림/동화책', '5-6학년 창작동화', '국내도서', '어린이', '어린이 문학', '그림/동화책', '창작동화', '국내도서', '미디어 추천', '동아일보', '국내도서', '미디어 추천', '한겨레', '#성장물', '#모험동화', '#관계']",이현,9,평점5점,"초등학생 아이에게 권해주었습니다
의외로 만족하며 좋아하더군요
이쯔음 아이에게 유익한 책"
40,18841857,푸른 사자 와니니,2015년 06월 25일,"['국내도서', '어린이', '3-4학년', '3-4학년 그림/동화책', '3-4학년 창작동화', '국내도서', '어린이', '5-6학년', '5-6학년 그림/동화책', '5-6학년 창작동화', '국내도서', '어린이', '어린이 문학', '그림/동화책', '창작동화', '국내도서', '미디어 추천', '동아일보', '국내도서', '미디어 추천', '한겨레', '#성장물', '#모험동화', '#관계']",이현,9,평점4점,책 잘 안 읽는 초등 딸에게 선물했어요
41,18841857,푸른 사자 와니니,2015년 06월 25일,"['국내도서', '어린이', '3-4학년', '3-4학년 그림/동화책', '3-4학년 창작동화', '국내도서', '어린이', '5-6학년', '5-6학년 그림/동화책', '5-6학년 창작동화', '국내도서', '어린이', '어린이 문학', '그림/동화책', '창작동화', '국내도서', '미디어 추천', '동아일보', '국내도서', '미디어 추천', '한겨레', '#성장물', '#모험동화', '#관계']",이현,9,평점5점,재밌어요 아들은 모르겠대요ㅠㅠ
42,18841857,푸른 사자 와니니,2015년 06월 25일,"['국내도서', '어린이', '3-4학년', '3-4학년 그림/동화책', '3-4학년 창작동화', '국내도서', '어린이', '5-6학년', '5-6학년 그림/동화책', '5-6학년 창작동화', '국내도서', '어린이', '어린이 문학', '그림/동화책', '창작동화', '국내도서', '미디어 추천', '동아일보', '국내도서', '미디어 추천', '한겨레', '#성장물', '#모험동화', '#관계']",이현,9,평점5점,넘 재밌어요
43,18841857,푸른 사자 와니니,2015년 06월 25일,"['국내도서', '어린이', '3-4학년', '3-4학년 그림/동화책', '3-4학년 창작동화', '국내도서', '어린이', '5-6학년', '5-6학년 그림/동화책', '5-6학년 창작동화', '국내도서', '어린이', '어린이 문학', '그림/동화책', '창작동화', '국내도서', '미디어 추천', '동아일보', '국내도서', '미디어 추천', '한겨레', '#성장물', '#모험동화', '#관계']",이현,9,평점5점,와니니 감동적이면서 재미있는 책입니다.
44,96025067,메타버스,2020년 12월 18일,"['국내도서', '경제 경영', '마케팅/세일즈', '마케팅/브랜드', '국내도서', '경제 경영', '마케팅/세일즈', '트렌드/미래예측', '국내도서', '경제 경영', '인터넷비즈니스', 'e-비즈니스', '국내도서', '경제 경영', '인터넷비즈니스', '#디지털플랫폼', '#디지털컨택트사회', '#언택트시대를사는법', '#언택트시대', '#초월적존재', '#시공초월']",김상균,10,평점5점,좋아요!
45,96025067,메타버스,2020년 12월 18일,"['국내도서', '경제 경영', '마케팅/세일즈', '마케팅/브랜드', '국내도서', '경제 경영', '마케팅/세일즈', '트렌드/미래예측', '국내도서', '경제 경영', '인터넷비즈니스', 'e-비즈니스', '국내도서', '경제 경영', '인터넷비즈니스', '#디지털플랫폼', '#디지털컨택트사회', '#언택트시대를사는법', '#언택트시대', '#초월적존재', '#시공초월']",김상균,10,평점5점,아는 내용 같으면서도 또 새로운 그런 책이네요. 강추드립니다!!
46,96025067,메타버스,2020년 12월 18일,"['국내도서', '경제 경영', '마케팅/세일즈', '마케팅/브랜드', '국내도서', '경제 경영', '마케팅/세일즈', '트렌드/미래예측', '국내도서', '경제 경영', '인터넷비즈니스', 'e-비즈니스', '국내도서', '경제 경영', '인터넷비즈니스', '#디지털플랫폼', '#디지털컨택트사회', '#언택트시대를사는법', '#언택트시대', '#초월적존재', '#시공초월']",김상균,10,평점5점,미래를 알 수 있네요
47,96025067,메타버스,2020년 12월 18일,"['국내도서', '경제 경영', '마케팅/세일즈', '마케팅/브랜드', '국내도서', '경제 경영', '마케팅/세일즈', '트렌드/미래예측', '국내도서', '경제 경영', '인터넷비즈니스', 'e-비즈니스', '국내도서', '경제 경영', '인터넷비즈니스', '#디지털플랫폼', '#디지털컨택트사회', '#언택트시대를사는법', '#언택트시대', '#초월적존재', '#시공초월']",김상균,10,평점5점,미리 보는 미래인가? 내가 알지 못했던 세계로 강제로 끌고 가는 책! 신기방기~
48,96025067,메타버스,2020년 12월 18일,"['국내도서', '경제 경영', '마케팅/세일즈', '마케팅/브랜드', '국내도서', '경제 경영', '마케팅/세일즈', '트렌드/미래예측', '국내도서', '경제 경영', '인터넷비즈니스', 'e-비즈니스', '국내도서', '경제 경영', '인터넷비즈니스', '#디지털플랫폼', '#디지털컨택트사회', '#언택트시대를사는법', '#언택트시대', '#초월적존재', '#시공초월']",김상균,10,평점5점,새로운 세상으로 도전할 수있는 힘을 주는책!
49,96025067,메타버스,2020년 12월 18일,"['국내도서', '경제 경영', '마케팅/세일즈', '마케팅/브랜드', '국내도서', '경제 경영', '마케팅/세일즈', '트렌드/미래예측', '국내도서', '경제 경영', '인터넷비즈니스', 'e-비즈니스', '국내도서', '경제 경영', '인터넷비즈니스', '#디지털플랫폼', '#디지털컨택트사회', '#언택트시대를사는법', '#언택트시대', '#초월적존재', '#시공초월']",김상균,10,평점5점,메타버스 기초개념 잡기 좋내요
